model,roc_auc,pr_auc,accuracy,precision,recall,f1,specificity,Best Metric
TRANSFORMER,0.7056002316442926,0.4777581472043529,0.7484221769103796,0.6520302171860245,0.125454215116279,0.2104220630809081,0.975586325692328,"ROC_AUC, PRECISION"
XGB,0.7033618374433651,0.4748433325948282,0.6252467877140176,0.386497204452757,0.6852289244186046,0.49422880842146016,0.6033744092575416,"F1, RECALL"
LSTM,0.7029849663884427,0.4722792742500639,0.7483493543062433,0.6256370050960408,0.144985465116279,0.2354155911202891,0.9683649132105472,
RF,0.6938331411670969,0.4619786486462389,0.6409198304042464,0.3924726331137289,0.627422480620155,0.4828833416080541,0.6458416147696656,
LR,0.6626314816442926,0.4037389876925414,0.5918293038159045,0.357552862679684,0.6620639534883721,0.46433691185371606,0.5662183649132105,
