model,roc_auc,pr_auc,accuracy,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,specificity,sensitivity
LR,0.6344415295446981,0.3668550675000983,0.533935333527527,0.3313153776459929,0.7308321220930233,0.4559365259280249,13951,16237,2963,8045,0.4621372730886445,0.7308321220930233
LR,0.6344415295446981,0.3668550675000983,0.533935333527527,0.3313153776459929,0.7308321220930233,0.4559365259280249,13951,16237,2963,8045,0.4621372730886445,0.7308321220930233
RF,0.6821254049959402,0.4503162576474843,0.630983590639868,0.3833055091819699,0.6257267441860465,0.4753951273379805,19106,11082,4120,6888,0.6329004902610309,0.6257267441860465
XGB,0.6916200311261637,0.4595255437559082,0.6190649577628896,0.37912172970741526,0.6674236918604651,0.4835620495606674,18156,12032,3661,7347,0.6014310321982245,0.6674236918604651
